사업장명,법정동명,업종,모집직종,모집인원(명),모집학력,임금기준,비고사항,문의처,문의전화번호,데이터기준일자
(주)나눔과돌봄사회서비스센터,기북면,복지 서비스업,재가 요양보호사,1,학력무관,"시급 10,810원 이상",차량소지자,포항시일자리종합센터,054-280-3275,2020-09-28
(주)서광페인트,동촌동,공사업,건물 도장공,2,학력무관,"일급 100,000원 이상 ~ 120,000원 이하","건축도장기사,인근거주자,차량소지자",포항시일자리종합센터,054-280-3275,2020-09-28
(주)엘림건설,장성동,건설업,경리 사무원,1,학력무관,"월급 1,800,000원 이상 ~ 2,200,000원 이하",경력5년이상,포항시일자리종합센터,054-280-3275,2020-09-28
(주)진덕건설,상도로,토공사업,토목시공기술자,1,대졸(2~3년)~대졸(4년),"연봉 30,000,000원 이상 ~ 55,000,000원 이하","경력5년이상,토목기사,여성우대",포항시일자리종합센터,054-280-3275,2020-09-28
(주)태화산업,호동,제조업,생산 관리원,2,학력무관,"연봉 24,000,000원 이상",,포항시일자리종합센터,054-280-3275,2020-09-28
(주)태화중공업,호동,장비 수리업,생산 관리원,2,학력무관,"연봉 24,000,000원 이상",차량소지자,포항시일자리종합센터,054-280-3275,2020-09-28
(주)티에스패밀리,장기면,구내식당업,급식 조리사,1,학력무관,"월급 1,900,000원 이상",경력1년이상,포항시일자리종합센터,054-280-3275,2020-09-28
(주)포센,동촌동,서비스업,안내 접수원,1,고졸~대졸(4년),"시급 8,695원 이상",여성우대,포항시일자리종합센터,054-280-3275,2020-09-28
(주)포스마린서비스,청림동,서비스업,납품 운전원,1,학력무관,"월급 2,200,000원 이상 ~ 2,300,000원 이하",,포항시일자리종합센터,054-280-3275,2020-09-28
(주)프로그린테크,호동,제조업,재무 서장,1,대졸(2~3년)~박사,"연봉 40,000,000원 이상",경력5년이상,포항시일자리종합센터,054-280-3275,2020-09-28
(주)휴비즈,장성동,인력 공급업,매장 계산원,2,학력무관,"시급 8,590원 이상",,포항시일자리종합센터,054-280-3275,2020-09-28
가온상패공장,상도동,제조업,웹 디자이너,1,고졸~대졸(4년),"월급 2,000,000원 이상",청년층우대,포항시일자리종합센터,054-280-3275,2020-09-28
거성자동차종합정비,흥해읍,수리업,기타 자동차 운전원,1,학력무관,"월급 2,000,000원 이상",,포항시일자리종합센터,054-280-3275,2020-09-28
경동산업,장흥동,제조업,제조 단순 종사원,1,고졸~대졸(2~3년),"시급 8,800원 이상","차량소지자,군 전역 간부",포항시일자리종합센터,054-280-3275,2020-09-28
광성복지센터,인덕동,복지서비스 제공업,재가 요양보호사,1,학력무관,"시급 11,000원 이상",,포항시일자리종합센터,054-280-3275,2020-09-28
대구지방고용노동청포항지청,죽도동,공공행정,행정 사무원,2,학력무관,"월급 1,795,310원 이상",,포항시일자리종합센터,054-280-3275,2020-09-28
보금자리요양원,장성동,복지시설 운영업,사회복지사,1,대졸(2~3년)~대졸(4년),"월급 1,800,000원 이상","운전가능자,사회봉사 활동 경험자,고용촉진지원금대상자",포항시일자리종합센터,054-280-3275,2020-09-28
보해정밀,장흥동,제조업,기기 수리원,1,학력무관,"시급 8,600원 이상 ~ 9,000원 이하",,포항시일자리종합센터,054-280-3275,2020-09-28
봄날노인재가복지센터,죽도동,제공업,사회복지사,1,대졸(2~3년)~대졸(4년),"월급 1,850,000원 이상","경력1년이상,사회복지사",포항시일자리종합센터,054-280-3275,2020-09-28
봄요양병원,장성동,복지시설 운영업,간호조무사,1,학력무관,"월급 1,795,310원 이상",경력1년이상,포항시일자리종합센터,054-280-3275,2020-09-28
시안테크,대송면,제조업,전기 조립원,2,학력무관,"연봉 30,000,000원 이상","경력2년이상,전기기능사",포항시일자리종합센터,054-280-3275,2020-09-28
심팩인더스트리,오천읍,광업,가공 장치 조작원,2,학력무관,"연봉 27,300,000원 이상","인근거주자,차량소지자",포항시일자리종합센터,054-280-3275,2020-09-28
아주베스틸(주),대송면,제조업,생산 관리원,1,대졸(4년)~석사,"연봉 30,000,000원 이상 ~ 40,000,000원 이하","경력1년이상,청년층우대",포항시일자리종합센터,054-280-3275,2020-09-28
양지재가복지센터,대신동,복지 서비스업,재가 요양 보호사,1,학력무관,"시급 10,800원 이상",,포항시일자리종합센터,054-280-3275,2020-09-28
어린이청소년문화콘텐츠진흥협회,양덕동,전문가 단체,웹 개발자,1,대졸(2~3년)~박사,"월급 2,500,000원 이상","인근거주자,차량소지자,운전가능자",포항시일자리종합센터,054-280-3275,2020-09-28
연합한의원,송도동,한의원,간호조무사,1,고졸~대졸(4년),"시급 8,590원 이상",,포항시일자리종합센터,054-280-3275,2020-09-28
용성전기판금,연일읍,제조업,제조 단순 종사원,1,학력무관,"월급 2,080,000원 이상",운전가능자,포항시일자리종합센터,054-280-3275,2020-09-28
주식회사 대통물류,청림동,서비스업,물류 사무원,1,학력무관,"연봉 27,692,000원 이상","경력5년이상,지게차운전기능사",포항시일자리종합센터,054-280-3275,2020-09-28
주식회사 피팩,흥해읍,제조업,자동차 분해원,2,학력무관,"시급 9,000원 이상","인근거주자,운전가능자,청년층우대",포항시일자리종합센터,054-280-3275,2020-09-28
주식회사 해아인컴퍼니,장성동,제조업,기타 조리사,1,학력무관,"월급 910,000원 이상",,포항시일자리종합센터,054-280-3275,2020-09-28
주식회사 티시스틸,대송면,제조업,금속 기계 조작원,1,고졸~대졸(4년),"월급 1,808,000원 이상",,포항시일자리종합센터,054-280-3275,2020-09-28
포항공대가속기연구소,지곡로,연구개발업,경리 사무원,1,대졸(2~3년)~대졸(4년),"월급 1,800,000원 이상 ~ 2,000,000원 이하",,포항시일자리종합센터,054-280-3275,2020-09-28
포항시북부장애인종합복지관,여남동,상담서비스 제공업,사회복지사,3,학력무관,"월급 1,885,000원 이상 ~ 2,149,000원 이하",,포항시일자리종합센터,054-280-3275,2020-09-28
한동직업전문학교(주),죽도동,직업훈련학원,콘텐츠 디자이너,1,대졸(2~3년)~대졸(4년),"월급 1,900,000원 이상","경력1년이상,인근거주자,청년층우대",포항시일자리종합센터,054-280-3275,2020-09-28
행복마을재가복지센터,우현동,복지 서비스업,사회복지사,1,학력무관,"월급 1,795,310원 이상",,포항시일자리종합센터,054-280-3275,2020-09-28
화진기업,괴동동,제조업,창고 관리원,1,학력무관,"월급 2,300,000원 이상 ~ 2,500,000원 이하",,포항시일자리종합센터,054-280-3275,2020-09-28
