구분1,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
1주간대중교통이용횟수(회),8.8,8.73,8.62,8.61,8.57,8.38,7.26,7.58,8.56,7.43,7.28,7.55,7.24,7.25,7.31,7.48,7.36
한달평균대중교통비용(원),61040.15,52822.06,45123.27,58681.33,46769.9,43349.29,45021.2,36911.82,59199.44,37318.32,38569.85,40747.59,38693.59,36108.06,39713.31,43933.27,41376.84
주이용교통수단_버스(%),32.67,56.26,58.35,51.6,82.32,77.66,100,100,62.22,98.34,100,94.45,100,100,97.94,95.2,100
주이용교통수단_도시철도(%),67.33,43.74,41.65,48.4,17.68,22.34,0,0,37.78,1.66,0,5.55,0,0,2.06,4.8,0
교통카드이용률(%),98.39,97.82,97.46,98.67,98.29,97.71,98.1,97.02,98,90.37,92.62,93.28,92.38,71.04,90.69,88.45,94.65
정보제공서비스이용률(%),97.85,95.08,95.29,98.55,96.22,97.42,97.98,86.6,97.45,67.67,81.41,76.53,72.21,74.07,78.91,81.09,91.34
접근소요시간(분),8.2,8.16,8.36,8.42,8.57,8.44,7.98,8.51,8.11,9.79,7.84,8.09,8.07,7.82,8.03,8.19,7.92
환승서비스이용률(%),96.81,90.26,87.7,89.79,81.46,86.18,76.64,57.27,90.97,48.14,65.87,64.59,53.88,55.58,65.1,68.68,58.45
환승횟수(회),1.34,1.51,1.54,1.65,1.64,1.68,1.6,1.53,1.57,1.34,1.34,1.5,1.43,1.36,1.46,1.57,1.36
환승이동시간(분),6.24,6.16,6.26,6.32,6.19,6.07,6.34,5.75,6.24,5.61,5.57,5.74,6.5,6.83,6.94,6.87,6.86
환승대기시간(분),7.84,7.98,7.59,8.35,8.51,8.37,8.52,8.79,8.4,8.07,8.36,8.95,9.12,9.08,9.01,9.25,8.86
